booking_id,hotel_id,hotel_name,country,city,customer_id,customer_name,customer_email,channel,room_type,meal_plan,booking_date,checkin_date,checkout_date,nights,adults,children,revenue,status,is_cancelled
B100000,19,Mediterraneum Valencia Ciutat,Spain,Valencia,17505,Elena Papadopoulos,,Expedia,Standard,All Inclusive,2025-03-11,20/03/2025,2025-03-24,4,3,1,638.71,Confirmed,False
B100001,10,Mediterraneum Tossa,Spain,Tossa de Mar,19657,Jose Romero,jose.romero19657@example.com,Booking,Superior,Room Only,2025-03-19,2025-05-25,2025-05-27,2,3,1,328.55,Confirmed,False
B100002,22,Mediterraneum San Sebastian,Spain,San Sebastian,23583,Elena Garcia,elena.garcia23583@example.com,Booking,Standard,Breakfast,2025-07-12,28/07/2025,2025-08-02,5,3,1,1098.67,Confirmed,False
B100003,39,Mediterraneum Rhodes Old Town,Greece,Rhodes,12842,Andreas Russo,andreas.russo12842@example.com,Booking,Superior,Breakfast,2025-04-02,2025-04-24,26/04/2025,2,3,1,449.51,Confirmed,False
B100004,10,Mediterraneum Tossa,Spain,Tossa de Mar,18334,Sofia Bianchi,sofia.bianchi18334@example.com,direct,Standard,Room Only,2024-02-05,2024-03-05,08/03/2024,3,3,1,222.79,Confirmed,False
B100005,5,Mediterraneum Marbella Grand,Spain,Marbella,12096,Pablo Garcia,pablo.garcia12096@example.com,booking.com,Superior,Half Board,2023-02-08,2023-05-13,2023-05-16,3,2,0,660.98,Confirmed,False
B100006,30,Mediterraneum Roma Trastevere,Italy,Roma,17575,Lucia Romero,lucia.romero17575@example.com,agency,Standard,Room Only,27/03/2024,19/05/2024,2024-05-21,2,2,0,346.51,Confirmed,False
B100007,28,Mediterraneum Costa Smeralda,Italy,Porto Cervo,16095,Sofia Sanchez,sofia.sanchez16095@example.com,Direct,Standard,Half Board,2024-02-28,2024-04-05,2024-04-06,1,2,0,195.29,Cancelled,True
B100008,22,Mediterraneum San Sebastian,Spain,San Sebastian,16861,Giulia Russo,giulia.russo16861@example.com,BOOKING,Standard,Room Only,2024-04-06,28/04/2024,2024-04-30,2,2,2,251.51,Confirmed,False
B100009,37,Mediterraneum Creta Heraklion,Greece,Heraklion,21681,Luca Papadopoulos,luca.papadopoulos21681@example.com,Booking,Standard,All Inclusive,30/09/2023,2023-11-16,2023-11-18,2,2,0,368.25,Confirmed,False
B100010,4,Mediterraneum Formentera,Spain,Formentera,12691,Sofia Papadopoulos,sofia.papadopoulos12691@example.com,Booking,Superior,Breakfast,2025-06-04,2025-06-30,05/07/2025,5,2,0,1192.11,Cancelled,True
B100011,36,Mediterraneum Mykonos Beach,Greece,Mykonos,12167,Andreas Martinez,andreas.martinez12167@example.com,direct,Family,Breakfast,2024-11-14,2025-02-13,16/02/2025,3,2,0,565.02,Confirmed,False
B100012,10,Mediterraneum Tossa,Spain,Tossa de Mar,22746,Andreas Lopez,andreas.lopez22746@example.com,booking.com,Family,Breakfast,2025-03-20,11-5-25,13/05/2025,2,2,0,395.27,Confirmed,False
B100013,16,Mediterraneum Madrid Salamanca,Spain,Madrid,22394,Nikos Rossi,nikos.rossi22394@example.com,booking.com,Standard,Half Board,12/01/2024,2024-02-09,2024-02-10,1,2,1,151.52,Confirmed,False
B100014,28,Mediterraneum Costa Smeralda,Italy,Porto Cervo,19327,Luca Nikolaou,luca.nikolaou19327@example.com,booking.com,Standard,Half Board,5-8-25,2025-08-13,2025-08-16,3,3,0,1077.32,Confirmed,False
B100015,39,Mediterraneum Rhodes Old Town,Greece,Rhodes,24040,Sofia Lopez,sofia.lopez24040@example.com,Booking,FAMILY,All Inclusive,22/10/2025,27/11/2025,28/11/2025,1,3,2,244.96,Confirmed,False
B100016,28,Mediterraneum Costa Smeralda,Italy,Porto Cervo,23378,Laura Sanchez,laura.sanchez23378@example.com,Direct,superior,Breakfast,2025-03-09,2025-03-25,2025-03-27,2,4,0,438.51,Confirmed,False
B100017,4,Mediterraneum Formentera,Spain,Formentera,18990,Maria Sanchez,maria.sanchez18990@example.com,Agency,Family,Breakfast,2024-01-15,24/01/2024,2024-01-26,2,2,0,392.75,Cancelled,True
